iter	Logloss
0	0.6668196669
1	0.6380985985
2	0.610699918
3	0.585387125
4	0.5636986962
5	0.5410360889
6	0.5229732591
7	0.5027690208
8	0.4836526228
9	0.4676777599
10	0.4459798834
11	0.4314659142
12	0.4153818317
13	0.3999337931
14	0.386290214
15	0.3743377618
16	0.3635813286
17	0.3510164051
18	0.3403165123
19	0.3282777173
20	0.3148336416
21	0.3032465163
22	0.2938962796
23	0.2854126096
24	0.2769126715
25	0.268723132
26	0.2607198398
27	0.2532018481
28	0.2447738668
29	0.2376701775
30	0.230243441
31	0.2241526422
32	0.2182348244
33	0.2126351134
34	0.2079320687
35	0.2036863409
36	0.1993057825
37	0.1950371753
38	0.1912829961
39	0.1872415317
40	0.1828159826
41	0.1786381979
42	0.1747932329
43	0.1705525416
44	0.1669017666
45	0.162805602
46	0.1603688189
47	0.1573278138
48	0.1539203939
49	0.1505936807
50	0.1477819779
51	0.1456128178
52	0.1425942953
53	0.1399957197
54	0.1377026149
55	0.1354903631
56	0.1329985932
57	0.1306029902
58	0.1286403544
59	0.1268405048
60	0.1248862238
61	0.1229027249
62	0.1210729319
63	0.1195527953
64	0.1179682628
65	0.116234487
66	0.1148409294
67	0.1135218353
68	0.1120530059
69	0.1106998291
70	0.1091399571
71	0.1078702071
72	0.1065243589
73	0.1052897118
74	0.1040435315
75	0.102885686
76	0.1015800363
77	0.1002313051
78	0.09919246661
79	0.09813534112
80	0.09715980078
81	0.09582976725
82	0.0948504009
83	0.09404953613
84	0.09293388351
85	0.09209809896
86	0.0914572752
87	0.0907302042
88	0.08955689323
89	0.08867666334
90	0.08786171298
91	0.08728327993
92	0.08654801579
93	0.08564360969
94	0.08478650946
95	0.08404637028
96	0.08328811128
97	0.08277571772
98	0.08226412256
99	0.08183490661
100	0.08136085002
101	0.08048427134
102	0.07970320479
103	0.07924429989
104	0.07881880459
105	0.07821399827
106	0.07767495366
107	0.07704682674
108	0.0763142315
109	0.07577659887
110	0.07517179667
111	0.07459815209
112	0.07406502289
113	0.07356191969
114	0.07310185598
115	0.07254446425
116	0.07210624442
117	0.07158926814
118	0.0712033743
119	0.07070755259
120	0.07039624898
121	0.0699331879
122	0.06965597497
123	0.0693091351
124	0.06893406452
125	0.06864880838
126	0.06820713626
127	0.06806709733
128	0.06774107121
129	0.06740990266
130	0.06690943463
131	0.0665583542
132	0.06616276682
133	0.06580189553
134	0.06535973902
135	0.0649502817
136	0.06462372266
137	0.06435801211
138	0.06398398054
139	0.06384756389
140	0.06356886357
141	0.06332957644
142	0.06313298516
143	0.06285186964
144	0.06253215949
145	0.06228448711
146	0.06201790232
147	0.06172115164
148	0.06147140185
149	0.06123004993
150	0.06082990161
151	0.0606421757
152	0.06029851489
153	0.06018346422
154	0.05991203629
155	0.05966809419
156	0.05942790682
157	0.05927192524
158	0.05902593286
