sampleNum,label,std_acc_z,std_acc_x,std_acc_y,mean_acc_z,mean_acc_x,mean_acc_y,range_acc_z,range_acc_x,range_acc_y
800,Reckless,19.999527560728108,15.783476630866422,34.02774671847611,6.671830143540667,-0.8901913875598091,-1.257541866028708,121.11722488038278,109.8157894736842,154.5622009569378
801,Reckless,19.892813780689476,16.25353997181428,31.971636139435027,7.450633971291865,-0.909994019138756,-1.50453947368421,109.0622009569378,111.97368421052633,152.44258373205741
802,Reckless,19.355242247871374,15.914980179619953,36.02668846712244,6.635203349282299,-1.3319796650717695,-1.6368301435406687,124.3133971291866,125.79904306220095,154.73923444976077
803,Reckless,18.20948044002662,13.600473087482554,33.808091452375365,6.8354964114832555,-1.5577511961722488,-1.5710107655502399,116.14114832535884,70.57894736842105,148.44976076555025
804,Reckless,18.274922867939335,15.039145772233375,33.38460404132697,6.9089114832535845,-0.8674581339712926,-1.4611303827751203,112.42105263157895,117.21052631578948,156.66985645933013
805,Reckless,21.650217441136146,13.000175310136386,32.59337309419565,6.594366028708138,-0.7990610047846886,-1.9291866028708125,145.22966507177034,86.3397129186603,156.6602870813397
806,Reckless,23.7412534577344,14.913328767692763,37.228610329839064,5.860005980861242,-0.9276555023923454,-1.999808612440192,140.29425837320574,91.75837320574163,156.66985645933013
807,Reckless,24.078951264620994,13.849535337576977,35.28577452239399,6.991872009569381,-0.6300897129186608,-0.5479844497607654,149.92344497607655,91.80861244019138,156.11961722488036
808,Reckless,29.972965793974808,17.74356227610308,42.814401720404376,5.054126794258373,-0.7521291866028708,-0.0074222488038282195,155.9306220095694,111.26555023923444,156.66985645933013
809,Reckless,30.10012492293901,18.23893712434569,42.616023127454646,5.416608851674638,-1.018594497607655,-0.09583133971291864,154.01435406698565,134.5980861244019,156.66985645933013
810,Reckless,25.54329284445683,14.957128892301608,39.67934455229709,6.587894736842101,-0.9395753588516743,1.2827332535885148,156.66985645933013,110.33492822966507,155.20813397129186
811,Reckless,22.663308296294748,10.850745160148373,38.58891524758835,6.225837320574159,-0.4712021531100482,-1.0044856459330147,125.39952153110048,61.07655502392345,156.66985645933013
812,Reckless,21.538854315746914,11.982053305501527,35.7886356397006,6.40573564593301,-0.5414892344497608,-0.5020035885167463,138.1866028708134,72.51435406698565,156.70334928229664
813,Reckless,20.20146912734936,11.144219961664021,36.002602707964215,6.452368421052631,-0.8082117224880382,0.5876674641148325,137.29665071770336,79.8444976076555,156.66985645933013
814,Reckless,19.967439751227314,14.41172229762042,37.64404998221564,6.731118421052631,-0.7486602870813401,-1.0645753588516742,112.72488038277513,90.74162679425837,156.66985645933013
815,Reckless,22.381724292764954,12.007342962231448,39.00681713699339,6.305627990430625,-0.649766746411483,1.1420275119617225,125.78947368421055,68.74401913875599,154.98564593301438
816,Reckless,22.09548205992959,10.905249363949931,38.79021002046906,5.852320574162679,-0.6524282296650717,0.6804425837320569,138.91866028708134,59.186602870813395,156.66985645933013
