sampleNum,label,std_acc_z,std_acc_x,std_acc_y,mean_acc_z,mean_acc_x,mean_acc_y,range_acc_z,range_acc_x,range_acc_y,std_gyro_z,std_gyro_x,std_gyro_y,mean_gyro_z,mean_gyro_x,mean_gyro_y,range_gyro_z,range_gyro_x,range_gyro_y
0,Normal,14.004292964349428,10.351266301232124,14.932544648982816,8.723522727272723,-1.5402033492822975,-2.2526495215311,96.9090909090909,104.08851674641149,121.8133971291866,0.6364160666337932,0.3274800702379004,0.21051979602753224,0.33775531914893614,-0.019031914893617018,-0.04668617021276596,3.5617021276595744,3.256382978723405,1.452127659574468
1,Normal,20.58325088082156,9.548827074449342,17.892953273583213,8.417099282296642,-1.3568480861244023,-1.9437021531100478,133.54545454545453,53.99760765550239,87.99521531100477,1.0617988254678068,0.3352571927168031,0.2604951253842152,0.11077127659574477,-0.02707978723404257,-0.049414893617021234,5.401063829787233,1.6861702127659575,1.2521276595744681
2,Normal,22.24746817351041,8.727270635198403,19.44199837265584,7.7200777511961745,-0.8658313397129178,-1.5899820574162675,120.05741626794259,83.55023923444976,100.1244019138756,0.6325468621751109,0.39876215970443785,0.239513552876083,-0.023042553191489335,0.0008723404255319034,-0.03770744680851064,3.2723404255319153,2.132978723404255,1.3127659574468087
3,Normal,22.147370779974967,11.680340813218727,20.120237856155146,6.569862440191377,-0.8097248803827753,-1.5600717703349272,120.64114832535887,102.19138755980862,109.87799043062199,1.2545485709516484,0.4240809287188755,0.32156802772455323,0.016989361702127705,-0.031457446808510654,-0.0021968085106382827,5.543617021276596,3.029787234042553,1.7670212765957447
4,Normal,23.7003832309314,8.884090964473272,20.13837179052261,7.007428229665072,-0.8303827751196171,-1.3379844497607651,145.82057416267946,50.45454545454544,108.5,0.9325573305871506,0.4267343505204775,0.23700829586945596,-0.017367021276595705,-0.01353191489361703,0.04850531914893619,4.360638297872341,2.2893617021276595,1.1606382978723404
5,Normal,24.83581624305742,10.681966804102641,21.28408083558058,6.498480861244023,-0.8488875598086122,-1.8332236842105263,154.3133971291866,65.04066985645932,100.09330143540672,0.9081675130908845,0.4592280076103419,0.26671535246319406,-0.0031063829787234066,-0.01684042553191489,-0.010085106382978737,3.9861702127659573,2.048936170212766,1.4148936170212765
6,Normal,21.506493491546273,8.519288746819981,18.540219257978702,7.31501196172249,-0.8709868421052634,-1.5680382775119608,132.33014354066984,54.26794258373206,90.31578947368422,0.6383364990406297,0.40445990985128116,0.23631933110603684,-0.012579787234042548,-0.00359574468085106,0.017382978723404243,2.828723404255319,2.1287234042553194,1.2063829787234042
7,Normal,24.277410274714054,13.063529626793809,21.430908041727662,6.615161483253588,-0.8226196172248804,-1.699976076555022,144.14354066985646,103.89952153110046,111.27511961722487,0.8053435249073445,0.5042858111339202,0.2475950772789468,-0.02637765957446809,-0.0065904255319148945,0.001329787234042543,3.213829787234043,3.4117021276595745,1.6861702127659575
8,Normal,22.276036750778253,10.086237550999057,18.846030485572236,6.967990430621999,-0.9122846889952146,-1.9194497607655518,151.7775119617225,61.82057416267943,112.58851674641147,0.52541640265784,0.4397659311907313,0.192573497077188,0.006404255319148903,-0.009196808510638291,0.0001489361702127664,2.3446808510638295,2.703191489361702,1.052127659574468
9,Normal,22.053860882410824,8.08507033433103,21.3922543838393,7.79424043062201,-0.6968181818181819,-1.3160406698564584,126.19377990430621,50.770334928229666,104.29425837320574,0.5057590324022272,0.42316797557890695,0.15328771131050406,0.04766489361702127,0.003755319148936188,0.01726595744680851,2.388297872340426,2.3127659574468087,0.8297872340425532
10,Normal,21.12374950920077,8.743074744845138,20.788916513868312,7.253678229665071,-0.6587200956937795,-1.4642822966507174,132.44736842105263,55.05502392344498,97.57655502392345,0.8308873858491418,0.3853885395905879,0.2616440097160058,-0.02302127659574467,-0.009760638297872342,-0.012122340425531898,3.2670212765957447,1.8914893617021278,1.6297872340425532
11,Normal,21.386080718136903,6.670293426990946,20.692817197631484,8.106058612440188,-0.6066686602870811,-1.466423444976076,114.33253588516746,41.40909090909091,90.82775119617224,0.4681776049647776,0.3612619786196881,0.17287912388306237,0.006132978723404268,-0.005356382978723405,0.002058510638297869,2.1372340425531915,1.7414893617021276,0.9148936170212766
12,Normal,19.330960288520508,6.371847752902257,20.157801161416923,8.410861244019145,-0.6323624401913871,-1.4328708133971282,100.66746411483254,40.52392344497608,100.3133971291866,0.4729503970662079,0.33654720346938055,0.1372839738154907,-0.0030478723404255155,-0.001952127659574468,0.00967553191489362,1.9808510638297872,1.6106382978723404,0.6
13,Normal,22.718169152967757,9.135943705287708,21.625170073925464,7.795550239234455,-0.5297009569377991,-1.307434210526317,140.20095693779905,118.75358851674639,106.6866028708134,0.5192529205898436,0.3733648749468877,0.18697582715430125,-0.018026595744680848,-0.000526595744680852,-0.007393617021276593,2.830851063829787,2.029787234042553,2.469148936170213
14,Normal,20.503189624318914,8.27255895696491,19.22147567012812,8.951776315789477,-0.5991028708133981,-1.4351913875598088,146.9043062200957,46.87320574162679,99.01674641148327,0.6718510521127704,0.3652671438803293,0.20374693243816572,0.02041489361702126,-0.006957446808510645,0.016329787234042537,3.1936170212765953,3.176595744680851,1.1202127659574468
15,Normal,23.305468604345972,8.032062776278954,21.126671311527513,8.043720095693786,-0.7428468899521531,-1.463438995215312,139.95454545454544,52.3444976076555,103.23205741626793,0.621773078894159,0.3948115541227375,0.17358118053843238,-0.0177659574468085,-0.009101063829787237,0.012191489361702128,2.6063829787234045,2.2765957446808507,0.9287234042553192
16,Normal,22.484761237796906,10.800413113606881,21.592402160614046,8.450532296650715,-0.8054007177033488,-1.4772787081339702,153.44976076555025,109.20334928229666,122.21291866028709,0.7180636580820179,0.4314308063573719,0.22177845566378138,-0.014446808510638303,-0.005239361702127665,0.0034574468085106363,3.4372340425531913,3.2978723404255317,1.646808510638298
17,Normal,25.74581376220933,11.307058411802286,20.562349293470774,8.077470095693778,-0.6493600478468897,-1.4056339712918666,154.94258373205741,92.88995215311003,106.20334928229664,0.6581749180103391,0.43149917712921654,0.20336553364834173,0.0184787234042553,-0.009723404255319146,0.003994680851063838,3.0776595744680852,2.836170212765957,1.146808510638298
