sampleNum,label,std_acc_z,std_acc_x,std_acc_y,mean_acc_z,mean_acc_x,mean_acc_y,range_acc_z,range_acc_x,range_acc_y
0,Normal,14.004292964349428,10.351266301232124,14.932544648982816,8.723522727272723,-1.5402033492822975,-2.2526495215311,96.9090909090909,104.08851674641149,121.8133971291866
1,Normal,20.58325088082156,9.548827074449342,17.892953273583213,8.417099282296642,-1.3568480861244023,-1.9437021531100478,133.54545454545453,53.99760765550239,87.99521531100477
2,Normal,22.24746817351041,8.727270635198403,19.44199837265584,7.7200777511961745,-0.8658313397129178,-1.5899820574162675,120.05741626794259,83.55023923444976,100.1244019138756
3,Normal,22.147370779974967,11.680340813218727,20.120237856155146,6.569862440191377,-0.8097248803827753,-1.5600717703349272,120.64114832535887,102.19138755980862,109.87799043062199
4,Normal,23.7003832309314,8.884090964473272,20.13837179052261,7.007428229665072,-0.8303827751196171,-1.3379844497607651,145.82057416267946,50.45454545454544,108.5
5,Normal,24.83581624305742,10.681966804102641,21.28408083558058,6.498480861244023,-0.8488875598086122,-1.8332236842105263,154.3133971291866,65.04066985645932,100.09330143540672
6,Normal,21.506493491546273,8.519288746819981,18.540219257978702,7.31501196172249,-0.8709868421052634,-1.5680382775119608,132.33014354066984,54.26794258373206,90.31578947368422
7,Normal,24.277410274714054,13.063529626793809,21.430908041727662,6.615161483253588,-0.8226196172248804,-1.699976076555022,144.14354066985646,103.89952153110046,111.27511961722487
8,Normal,22.276036750778253,10.086237550999057,18.846030485572236,6.967990430621999,-0.9122846889952146,-1.9194497607655518,151.7775119617225,61.82057416267943,112.58851674641147
9,Normal,22.053860882410824,8.08507033433103,21.3922543838393,7.79424043062201,-0.6968181818181819,-1.3160406698564584,126.19377990430621,50.770334928229666,104.29425837320574
10,Normal,21.12374950920077,8.743074744845138,20.788916513868312,7.253678229665071,-0.6587200956937795,-1.4642822966507174,132.44736842105263,55.05502392344498,97.57655502392345
11,Normal,21.386080718136903,6.670293426990946,20.692817197631484,8.106058612440188,-0.6066686602870811,-1.466423444976076,114.33253588516746,41.40909090909091,90.82775119617224
12,Normal,19.330960288520508,6.371847752902257,20.157801161416923,8.410861244019145,-0.6323624401913871,-1.4328708133971282,100.66746411483254,40.52392344497608,100.3133971291866
13,Normal,22.718169152967757,9.135943705287708,21.625170073925464,7.795550239234455,-0.5297009569377991,-1.307434210526317,140.20095693779905,118.75358851674639,106.6866028708134
14,Normal,20.503189624318914,8.27255895696491,19.22147567012812,8.951776315789477,-0.5991028708133981,-1.4351913875598088,146.9043062200957,46.87320574162679,99.01674641148327
15,Normal,23.305468604345972,8.032062776278954,21.126671311527513,8.043720095693786,-0.7428468899521531,-1.463438995215312,139.95454545454544,52.3444976076555,103.23205741626793
16,Normal,22.484761237796906,10.800413113606881,21.592402160614046,8.450532296650715,-0.8054007177033488,-1.4772787081339702,153.44976076555025,109.20334928229666,122.21291866028709
17,Normal,25.74581376220933,11.307058411802286,20.562349293470774,8.077470095693778,-0.6493600478468897,-1.4056339712918666,154.94258373205741,92.88995215311003,106.20334928229664
18,Normal,31.42987889142912,13.891660465896697,23.52236825283694,6.321620813397134,-0.6614952153110043,-1.2566806220095692,156.66985645933013,101.16267942583733,122.21770334928229
19,Normal,28.24446786934734,13.671725084073021,23.280411456108904,8.207541866028706,-0.7766626794258369,-1.1779485645933014,155.14114832535884,95.97129186602871,115.09569377990431
20,Normal,25.60593229520574,11.558127624596407,24.464186647312133,7.51846291866029,-0.5847727272727271,-1.0385047846889952,156.66985645933013,94.93062200956939,149.1291866028708
21,Normal,23.967796707178977,8.92569386530445,22.507406730780115,7.890005980861242,-0.7257476076555023,-1.3666746411483266,126.74641148325358,50.399521531100476,115.60765550239233
22,Normal,26.958207725634555,8.81489442774941,24.561621601791373,6.997799043062198,-0.7527452153110048,-1.3547009569378006,147.19856459330146,53.992822966507184,114.74880382775119
23,Normal,26.671959259422433,9.066282916398857,22.932745332821348,5.671417464114833,-0.8063098086124402,-1.4532775119617225,152.99521531100478,55.09569377990431,106.77511961722487
24,Normal,26.11493001756055,8.80694609388587,20.114408434961902,5.960717703349287,-0.7607416267942585,-1.1321710526315782,143.42105263157896,56.5956937799043,106.76794258373205
25,Normal,22.523421681125424,7.536650063348751,22.407486104356032,6.898851674641147,-0.7694497607655504,-1.4676495215311018,124.50478468899522,48.325358851674636,96.02870813397129
26,Normal,21.356477200723585,7.074291991124182,21.203948576500494,6.396854066985652,-0.8162739234449761,-1.2209150717703343,116.90430622009572,43.76555023923445,100.96650717703349
27,Normal,18.60162297626179,6.945046646656418,18.3785258775306,6.538582535885166,-0.7492523923444971,-0.9725358851674638,96.53827751196172,40.215311004784695,93.67942583732058
28,Normal,23.4354695923905,7.980231375948319,22.23526259622298,7.118355263157891,-0.7962141148325359,-1.1965131578947368,135.1267942583732,51.77990430622009,111.14114832535884
