date,Accelerometer (z) [m/s2],Accelerometer (x) [m/s2],Accelerometer (y) [m/s2],temperature [°C]
2021-04-16T14:18:28.880Z,-1.990430622009569,8.507177033492823,-1.1602870813397128,25
2021-04-16T14:18:28.885Z,-1.5502392344497609,2.3181818181818183,-2.3851674641148324,25
2021-04-16T14:18:28.890Z,-2.452153110047847,5.267942583732057,-3.602870813397129,25
2021-04-16T14:18:28.895Z,-3.935406698564593,11.904306220095696,-4.708133971291866,25
2021-04-16T14:18:28.900Z,-2.4688995215311005,11.645933014354068,-2.851674641148325,25
2021-04-16T14:18:28.905Z,-0.9210526315789472,8.681818181818182,-0.1961722488038277,25
2021-04-16T14:18:28.910Z,0.0430622009569378,11.330143540669855,2.382775119617225,25
2021-04-16T14:18:28.915Z,-0.569377990430622,12.14354066985646,1.7129186602870814,25
2021-04-16T14:18:28.920Z,-0.423444976076555,10.15311004784689,2.6818181818181817,25
2021-04-16T14:18:28.925Z,0.8229665071770335,7.55023923444976,4.760765550239235,25
2021-04-16T14:18:28.930Z,-0.2511961722488038,4.712918660287081,2.423444976076555,25
2021-04-16T14:18:28.935Z,-1.291866028708134,6.744019138755981,0.7081339712918661,25
2021-04-16T14:18:28.940Z,-0.971291866028708,7.992822966507177,1.0167464114832536,25
2021-04-16T14:18:28.945Z,-0.492822966507177,4.813397129186603,-1.444976076555024,25
2021-04-16T14:18:28.951Z,-1.2583732057416268,7.8086124401913874,-2.629186602870813,25
2021-04-16T14:18:28.956Z,0.7918660287081339,11.308612440191387,4.368421052631579,25
2021-04-16T14:18:28.961Z,1.916267942583732,11.308612440191387,5.124401913875598,25
2021-04-16T14:18:28.966Z,0.6267942583732058,11.308612440191387,-0.8205741626794258,25
2021-04-16T14:18:28.971Z,-0.1794258373205741,11.076555023923444,-1.354066985645933,25
2021-04-16T14:18:28.976Z,1.0430622009569377,8.5933014354067,2.521531100478469,25
2021-04-16T14:18:28.981Z,-0.0885167464114832,5.502392344497608,-0.9665071770334928,25
2021-04-16T14:18:28.986Z,-2.6770334928229667,7.586124401913875,-6.466507177033493,25
2021-04-16T14:18:28.991Z,-2.2057416267942584,12.059808612440191,-2.45933014354067,25
2021-04-16T14:18:28.996Z,0.4712918660287081,9.476076555023925,4.105263157894737,25
2021-04-16T14:18:29.001Z,0.9186602870813396,4.344497607655502,1.744019138755981,25
2021-04-16T14:18:29.006Z,-0.7177033492822966,8.473684210526315,-1.5645933014354068,25
2021-04-16T14:18:29.011Z,-0.1052631578947368,10.334928229665072,2.0167464114832536,25
2021-04-16T14:18:29.016Z,0.9665071770334928,6.600478468899522,4.15311004784689,25
2021-04-16T14:18:29.021Z,-0.1004784688995215,7.552631578947368,0.1770334928229665,25
2021-04-16T14:18:29.026Z,-1.0239234449760766,10.569377990430622,-1.4186602870813396,25
2021-04-16T14:18:29.031Z,0.0334928229665071,10.296650717703349,1.813397129186603,25
2021-04-16T14:18:29.036Z,-0.0406698564593301,9.985645933014354,1.1698564593301437,25
2021-04-16T14:18:29.041Z,-1.2679425837320577,8.464114832535886,-2.332535885167464,25
2021-04-16T14:18:29.046Z,-1.5430622009569377,8.141148325358852,-1.1483253588516746,25
2021-04-16T14:18:29.052Z,-1.4043062200956935,6.5933014354066986,1.0191387559808611,25
2021-04-16T14:18:29.057Z,-2.7033492822966507,9.0933014354067,-0.7081339712918661,25
2021-04-16T14:18:29.062Z,-3.6626794258373208,12.590909090909092,-2.832535885167464,25
2021-04-16T14:18:29.067Z,-3.389952153110048,10.834928229665072,-3.77511961722488,25
2021-04-16T14:18:29.072Z,-0.6842105263157895,9.74401913875598,1.6220095693779903,25
2021-04-16T14:18:29.077Z,0.9330143540669856,8.308612440191387,3.22488038277512,25
2021-04-16T14:18:29.082Z,-0.0167464114832535,6.110047846889952,-0.8421052631578947,25
2021-04-16T14:18:29.087Z,1.105263157894737,6.478468899521531,1.2966507177033493,25
2021-04-16T14:18:29.092Z,1.5933014354066986,5.169856459330144,3.80622009569378,25
2021-04-16T14:18:29.097Z,-0.0215311004784689,4.019138755980861,1.244019138755981,25
2021-04-16T14:18:29.102Z,-1.248803827751196,9.18421052631579,0.9234449760765552,25
2021-04-16T14:18:29.107Z,-1.1220095693779903,8.294258373205741,3.710526315789474,25
