sampleNum,label,std_acc_z,std_acc_x,std_acc_y,mean_acc_z,mean_acc_x,mean_acc_y,range_acc_z,range_acc_x,range_acc_y
0,Normal,1.8454644610449116,5.188429782069542,5.158220810106153,-0.8287559808612435,8.987177033492825,-0.34523923444976057,14.528708133971293,42.62679425837321,41.995215311004785
1,Normal,2.188592287118334,7.453264767600311,7.691530874040103,-0.43586722488038276,9.108732057416276,-0.4604724880382773,18.442583732057418,75.88038277511963,46.12679425837321
2,Normal,2.315912692698237,7.645128789544704,7.465256459001368,-0.3986363636363636,8.945897129186612,-0.5388875598086122,16.375598086124405,54.27033492822967,51.088516746411486
3,Normal,1.8281607361235375,5.765986371750572,5.528234860504724,-0.21514354066985675,8.946477272727272,-0.6442583732057419,11.935406698564593,35.91866028708134,31.267942583732058
4,Normal,2.394072854344404,7.3075946057599515,7.2791118655470015,-0.19732057416267956,9.041555023923449,-0.668205741626794,16.11244019138756,66.45933014354067,50.5311004784689
5,Normal,2.020599785080378,6.370909693627797,6.005458058362588,-0.17813995215311013,8.869031100478477,-0.4825179425837318,12.136363636363637,43.70334928229665,36.74162679425837
6,Normal,1.672884204318377,5.464405923394516,5.400225898798222,-0.20510765550239224,8.996818181818178,-0.7299162679425834,10.988038277511961,49.526315789473685,33.74880382775119
7,Normal,2.2023066101642508,7.190029294420459,6.965457745341043,-0.08806818181818186,9.001070574162682,-0.4390789473684213,13.901913875598087,55.227272727272734,39.39952153110048
8,Normal,2.311595311095741,7.086266013384757,6.981154156432856,-0.16908492822966514,8.953690191387558,-0.68052033492823,14.119617224880383,47.026315789473685,43.538277511961724
9,Normal,1.7863280964712807,5.865137144396193,5.5398920146706185,-0.13852272727272721,8.914246411483251,-0.7950538277511966,11.093301435406698,38.748803827751196,31.162679425837318
10,Normal,1.4549392402711083,5.131760904938875,4.9173743901055875,-0.16646531100478476,9.000837320574169,-0.18604665071770327,8.392344497607656,31.595693779904305,29.77751196172249
11,Normal,1.7198346608983435,5.532354196387957,4.906256565917579,-0.22599880382775137,9.03115430622009,-0.2827153110047847,10.425837320574162,31.89952153110048,27.559808612440193
12,Normal,1.9319910455653435,5.886443076949632,6.330848818966595,-0.17175837320574172,8.948618421052625,-0.2961662679425838,13.39952153110048,42.94019138755981,43.65071770334928
13,Normal,1.6550520132110755,5.40868443484581,5.028447671343431,-0.12684808612440202,9.02736244019139,-0.34751196172248805,10.040669856459331,31.043062200956932,30.607655502392344
