sampleNum,label,std_acc_z,std_acc_x,std_acc_y,mean_acc_z,mean_acc_x,mean_acc_y,range_acc_z,range_acc_x,range_acc_y,std_gyro_z,std_gyro_x,std_gyro_y,mean_gyro_z,mean_gyro_x,mean_gyro_y,range_gyro_z,range_gyro_x,range_gyro_y
0,Normal,1.8454644610449116,5.188429782069542,5.158220810106153,-0.8287559808612435,8.987177033492825,-0.34523923444976057,14.528708133971293,42.62679425837321,41.995215311004785,0.06052802092078894,0.4724862607334639,0.19784493939295997,0.04026595744680847,-0.24704255319148946,0.0583031914893617,0.39148936170212756,2.9595744680851066,1.0723404255319149
1,Normal,2.188592287118334,7.453264767600311,7.691530874040103,-0.43586722488038276,9.108732057416276,-0.4604724880382773,18.442583732057418,75.88038277511963,46.12679425837321,0.10053293513093366,0.49609659164239794,0.2225811475016894,0.033478723404255326,-0.22497340425531917,-0.016755319148936174,0.5691489361702127,2.957446808510638,1.3340425531914892
2,Normal,2.315912692698237,7.645128789544704,7.465256459001368,-0.3986363636363636,8.945897129186612,-0.5388875598086122,16.375598086124405,54.27033492822967,51.088516746411486,0.08541160320181986,0.33651289905329956,0.17795407194154514,0.0067553191489361656,0.033468085106382967,0.06013297872340427,0.4893617021276595,2.075531914893617,1.1340425531914895
3,Normal,1.8281607361235375,5.765986371750572,5.528234860504724,-0.21514354066985675,8.946477272727272,-0.6442583732057419,11.935406698564593,35.91866028708134,31.267942583732058,0.06441327714174559,0.29985012968038094,0.1175691537788543,-0.004904255319148936,-0.022218085106382995,0.024957446808510628,0.2829787234042553,1.4563829787234042,0.6489361702127658
4,Normal,2.394072854344404,7.3075946057599515,7.2791118655470015,-0.19732057416267956,9.041555023923449,-0.668205741626794,16.11244019138756,66.45933014354067,50.5311004784689,0.06879187827672328,0.3168815712872892,0.14479605604419016,0.0016861702127659555,-0.003191489361702126,0.00925531914893617,0.452127659574468,2.1074468085106384,1.0340425531914894
5,Normal,2.020599785080378,6.370909693627797,6.005458058362588,-0.17813995215311013,8.869031100478477,-0.4825179425837318,12.136363636363637,43.70334928229665,36.74162679425837,0.08868485411672394,0.3289746423806504,0.14549159628634356,0.0009308510638297765,0.017021276595744646,-0.020569148936170192,0.4999999999999999,2.1829787234042555,0.8255319148936169
6,Normal,1.672884204318377,5.464405923394516,5.400225898798222,-0.20510765550239224,8.996818181818178,-0.7299162679425834,10.988038277511961,49.526315789473685,33.74880382775119,0.08127902164567136,0.31737803629730554,0.12959004031179994,-9.574468085106667e-05,0.049914893617021276,0.03011170212765955,0.5925531914893616,1.575531914893617,0.7372340425531914
7,Normal,2.2023066101642508,7.190029294420459,6.965457745341043,-0.08806818181818186,9.001070574162682,-0.4390789473684213,13.901913875598087,55.227272727272734,39.39952153110048,0.09069813047093744,0.31155635868256043,0.1338574303891779,-0.0024308510638297847,0.020462765957446817,-0.013351063829787225,0.4999999999999999,1.3553191489361702,0.8106382978723404
8,Normal,2.311595311095741,7.086266013384757,6.981154156432856,-0.16908492822966514,8.953690191387558,-0.68052033492823,14.119617224880383,47.026315789473685,43.538277511961724,0.09288728594361252,0.3517472807776253,0.1678959039150012,-0.0014255319148936167,0.0105531914893617,0.005441489361702122,0.6095744680851064,1.622340425531915,1.0861702127659574
9,Normal,1.7863280964712807,5.865137144396193,5.5398920146706185,-0.13852272727272721,8.914246411483251,-0.7950538277511966,11.093301435406698,38.748803827751196,31.162679425837318,0.06973088052291865,0.28359515847855676,0.11868186859249193,-0.006452127659574461,0.02657446808510638,0.004430851063829794,0.34680851063829776,1.552127659574468,0.7904255319148935
