date,Gyroscope (z) [rad/s],Gyroscope (x) [rad/s],Gyroscope (y) [rad/s],temperature [°C]
2021-04-16T14:39:34.540Z,-0.1212765957446808,-0.6659574468085107,0.2234042553191489,25
2021-04-16T14:39:34.550Z,-0.1797872340425532,-0.8085106382978723,0.1872340425531914,25
2021-04-16T14:39:34.560Z,-0.2425531914893617,-0.3872340425531915,0.2180851063829787,25
2021-04-16T14:39:34.570Z,-0.2031914893617021,-0.7138297872340426,0.2691489361702128,25
2021-04-16T14:39:34.580Z,-0.2468085106382978,-0.3680851063829787,0.2723404255319149,25
2021-04-16T14:39:34.590Z,-0.1936170212765957,-0.4329787234042553,0.35,25
2021-04-16T14:39:34.600Z,-0.1180851063829787,-0.3234042553191489,0.4797872340425532,25
2021-04-16T14:39:34.611Z,-0.0946808510638297,-0.3095744680851063,0.2648936170212766,25
2021-04-16T14:39:34.621Z,-0.0446808510638297,-0.1776595744680851,0.4659574468085106,25
2021-04-16T14:39:34.631Z,-0.05,0.1606382978723404,0.4351063829787234,25
2021-04-16T14:39:34.641Z,-0.05,0.2436170212765957,0.4,25
2021-04-16T14:39:34.651Z,-0.0329787234042553,0.4106382978723404,0.5180851063829788,25
2021-04-16T14:39:34.661Z,-0.1074468085106383,1.1287234042553191,0.5595744680851064,25
2021-04-16T14:39:34.671Z,-0.0702127659574468,0.9797872340425532,0.4489361702127659,25
2021-04-16T14:39:34.681Z,-0.0074468085106382,1.551063829787234,0.6531914893617021,25
2021-04-16T14:39:34.691Z,-0.0180851063829787,1.7117021276595743,0.524468085106383,25
2021-04-16T14:39:34.701Z,-0.1319148936170212,2.720212765957447,0.4776595744680851,25
2021-04-16T14:39:34.712Z,-0.0946808510638297,3.0553191489361704,0.575531914893617,25
2021-04-16T14:39:34.722Z,-0.1,2.6904255319148938,0.3074468085106383,25
2021-04-16T14:39:34.732Z,-0.0925531914893617,3.576595744680851,0.5893617021276596,25
